Driver,DriverNumber,Team,LapNumber,Stint,TyreLife,Compound,LapTime,LapTime_s,TrackStatus,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,compound_order
ANT,12,Mercedes,13.0,1.0,13.0,HARD,0 days 00:01:18.868000,78.868,1,,,0 days 00:00:20.856000,0 days 00:00:36.970000,0 days 00:00:21.042000,181.0,184.0,268.0,277.0,2.0
ANT,12,Mercedes,14.0,1.0,14.0,HARD,0 days 00:01:19.075000,79.075,1,,,0 days 00:00:20.941000,0 days 00:00:37.250000,0 days 00:00:20.884000,185.0,186.0,269.0,276.0,2.0
ANT,12,Mercedes,15.0,1.0,15.0,HARD,0 days 00:01:19.858000,79.858,1,,,0 days 00:00:21.196000,0 days 00:00:37.149000,0 days 00:00:21.513000,180.0,183.0,269.0,277.0,2.0
ANT,12,Mercedes,16.0,1.0,16.0,HARD,0 days 00:01:20.745000,80.745,1,,,0 days 00:00:21.282000,0 days 00:00:37.630000,0 days 00:00:21.833000,176.0,179.0,267.0,273.0,2.0
ANT,12,Mercedes,17.0,1.0,17.0,HARD,0 days 00:01:21.182000,81.182,1,,,0 days 00:00:21.379000,0 days 00:00:38.201000,0 days 00:00:21.602000,178.0,171.0,267.0,275.0,2.0
ANT,12,Mercedes,18.0,1.0,18.0,HARD,0 days 00:01:20.136000,80.136,1,,,0 days 00:00:21.209000,0 days 00:00:37.516000,0 days 00:00:21.411000,183.0,183.0,262.0,277.0,2.0
ANT,12,Mercedes,19.0,1.0,19.0,HARD,0 days 00:01:19.624000,79.624,1,,,0 days 00:00:21.185000,0 days 00:00:37.413000,0 days 00:00:21.026000,185.0,183.0,267.0,277.0,2.0
ANT,12,Mercedes,20.0,1.0,20.0,HARD,0 days 00:01:18.842000,78.842,1,,,0 days 00:00:21.039000,0 days 00:00:37.139000,0 days 00:00:20.664000,177.0,180.0,259.0,277.0,2.0
ANT,12,Mercedes,21.0,1.0,21.0,HARD,0 days 00:01:17.914000,77.914,1,,,0 days 00:00:20.697000,0 days 00:00:36.624000,0 days 00:00:20.593000,195.0,183.0,259.0,281.0,2.0
ANT,12,Mercedes,22.0,1.0,22.0,HARD,0 days 00:01:17.273000,77.273,1,,,0 days 00:00:20.267000,0 days 00:00:36.522000,0 days 00:00:20.484000,199.0,185.0,260.0,280.0,2.0
ANT,12,Mercedes,23.0,1.0,23.0,HARD,0 days 00:01:16.973000,76.973,1,,,0 days 00:00:20.207000,0 days 00:00:36.409000,0 days 00:00:20.357000,197.0,189.0,259.0,280.0,2.0
ANT,12,Mercedes,24.0,1.0,24.0,HARD,0 days 00:01:16.939000,76.939,1,,,0 days 00:00:20.121000,0 days 00:00:36.475000,0 days 00:00:20.343000,,187.0,259.0,281.0,2.0
ANT,12,Mercedes,25.0,1.0,25.0,HARD,0 days 00:01:18.777000,78.777,1,,,0 days 00:00:20.214000,0 days 00:00:37.279000,0 days 00:00:21.284000,193.0,184.0,261.0,277.0,2.0
ANT,12,Mercedes,26.0,1.0,26.0,HARD,0 days 00:01:19.479000,79.479,1,,,0 days 00:00:20.996000,0 days 00:00:37.076000,0 days 00:00:21.407000,191.0,182.0,261.0,280.0,2.0
ANT,12,Mercedes,27.0,1.0,27.0,HARD,0 days 00:01:19.446000,79.446,1,,,0 days 00:00:20.948000,0 days 00:00:37.236000,0 days 00:00:21.262000,181.0,185.0,261.0,278.0,2.0
ANT,12,Mercedes,28.0,1.0,28.0,HARD,0 days 00:01:19.910000,79.91,1,,,0 days 00:00:21.114000,0 days 00:00:37.371000,0 days 00:00:21.425000,183.0,177.0,260.0,278.0,2.0
ANT,12,Mercedes,29.0,1.0,29.0,HARD,0 days 00:01:19.074000,79.074,1,,,0 days 00:00:20.758000,0 days 00:00:37.135000,0 days 00:00:21.181000,182.0,185.0,267.0,279.0,2.0
ANT,12,Mercedes,30.0,1.0,30.0,HARD,0 days 00:01:20.406000,80.406,1,,,0 days 00:00:20.671000,0 days 00:00:38.489000,0 days 00:00:21.246000,184.0,184.0,268.0,277.0,2.0
ANT,12,Mercedes,31.0,1.0,31.0,HARD,0 days 00:01:19.809000,79.809,1,,,0 days 00:00:20.787000,0 days 00:00:38.307000,0 days 00:00:20.715000,186.0,182.0,260.0,279.0,2.0
ANT,12,Mercedes,32.0,1.0,32.0,HARD,0 days 00:01:19.689000,79.689,1,,,0 days 00:00:20.573000,0 days 00:00:38.474000,0 days 00:00:20.642000,189.0,180.0,260.0,279.0,2.0
ANT,12,Mercedes,33.0,1.0,33.0,HARD,0 days 00:01:19.344000,79.344,1,,,0 days 00:00:21.751000,0 days 00:00:36.692000,0 days 00:00:20.901000,192.0,185.0,259.0,282.0,2.0
ANT,12,Mercedes,34.0,1.0,34.0,HARD,0 days 00:01:18.763000,78.763,1,,,0 days 00:00:20.539000,0 days 00:00:37.141000,0 days 00:00:21.083000,197.0,184.0,262.0,278.0,2.0
ANT,12,Mercedes,35.0,1.0,35.0,HARD,0 days 00:01:19.458000,79.458,1,,,0 days 00:00:20.790000,0 days 00:00:37.287000,0 days 00:00:21.381000,194.0,180.0,245.0,279.0,2.0
ANT,12,Mercedes,36.0,1.0,36.0,HARD,0 days 00:01:19.869000,79.869,1,,,0 days 00:00:21.743000,0 days 00:00:37.315000,0 days 00:00:20.811000,189.0,182.0,263.0,279.0,2.0
ANT,12,Mercedes,37.0,1.0,37.0,HARD,0 days 00:01:18.870000,78.87,12,,,0 days 00:00:20.664000,0 days 00:00:37.192000,0 days 00:00:21.014000,190.0,185.0,262.0,278.0,2.0
ANT,12,Mercedes,38.0,1.0,38.0,HARD,0 days 00:01:18.381000,78.381,1,,,0 days 00:00:20.420000,0 days 00:00:36.824000,0 days 00:00:21.137000,197.0,182.0,261.0,283.0,2.0
ANT,12,Mercedes,39.0,1.0,39.0,HARD,0 days 00:01:18.721000,78.721,1,,,0 days 00:00:20.541000,0 days 00:00:37.138000,0 days 00:00:21.042000,192.0,184.0,263.0,281.0,2.0
ANT,12,Mercedes,40.0,1.0,40.0,HARD,0 days 00:01:18.950000,78.95,1,,,0 days 00:00:20.619000,0 days 00:00:36.977000,0 days 00:00:21.354000,193.0,182.0,269.0,282.0,2.0
ANT,12,Mercedes,42.0,1.0,42.0,HARD,0 days 00:01:17.120000,77.12,1,,,0 days 00:00:19.908000,0 days 00:00:36.563000,0 days 00:00:20.649000,196.0,185.0,261.0,279.0,2.0
ANT,12,Mercedes,43.0,1.0,43.0,HARD,0 days 00:01:18.310000,78.31,1,,,0 days 00:00:20.302000,0 days 00:00:37.134000,0 days 00:00:20.874000,198.0,184.0,264.0,280.0,2.0
ANT,12,Mercedes,44.0,1.0,44.0,HARD,0 days 00:01:18.885000,78.885,1,,,0 days 00:00:20.499000,0 days 00:00:37.336000,0 days 00:00:21.050000,197.0,180.0,264.0,283.0,2.0
ANT,12,Mercedes,45.0,1.0,45.0,HARD,0 days 00:01:19.251000,79.251,1,,,0 days 00:00:20.606000,0 days 00:00:37.764000,0 days 00:00:20.881000,194.0,183.0,267.0,280.0,2.0
ANT,12,Mercedes,46.0,1.0,46.0,HARD,0 days 00:01:19.265000,79.265,1,,,0 days 00:00:20.771000,0 days 00:00:37.538000,0 days 00:00:20.956000,189.0,184.0,270.0,280.0,2.0
ANT,12,Mercedes,47.0,1.0,47.0,HARD,0 days 00:01:20.131000,80.131,1,,,0 days 00:00:20.815000,0 days 00:00:37.708000,0 days 00:00:21.608000,192.0,179.0,269.0,280.0,2.0
ANT,12,Mercedes,48.0,1.0,48.0,HARD,0 days 00:01:18.844000,78.844,1,,,0 days 00:00:20.868000,0 days 00:00:37.126000,0 days 00:00:20.850000,193.0,185.0,260.0,283.0,2.0
ANT,12,Mercedes,49.0,1.0,49.0,HARD,0 days 00:01:18.328000,78.328,1,,,0 days 00:00:20.305000,0 days 00:00:37.143000,0 days 00:00:20.880000,192.0,182.0,261.0,281.0,2.0
ANT,12,Mercedes,50.0,1.0,50.0,HARD,0 days 00:01:19.093000,79.093,1,,,0 days 00:00:20.512000,0 days 00:00:37.647000,0 days 00:00:20.934000,199.0,181.0,260.0,282.0,2.0
ANT,12,Mercedes,52.0,1.0,52.0,HARD,0 days 00:01:21.962000,81.962,1,,,0 days 00:00:20.907000,0 days 00:00:38.990000,0 days 00:00:22.065000,,177.0,237.0,274.0,2.0
ANT,12,Mercedes,53.0,1.0,53.0,HARD,0 days 00:01:19.263000,79.263,1,,,0 days 00:00:20.832000,0 days 00:00:37.707000,0 days 00:00:20.724000,197.0,169.0,260.0,278.0,2.0
ANT,12,Mercedes,54.0,1.0,54.0,HARD,0 days 00:01:19.603000,79.603,1,,,0 days 00:00:20.688000,0 days 00:00:38.191000,0 days 00:00:20.724000,179.0,172.0,258.0,278.0,2.0
ANT,12,Mercedes,55.0,1.0,55.0,HARD,0 days 00:01:18.966000,78.966,1,,,0 days 00:00:20.677000,0 days 00:00:37.527000,0 days 00:00:20.762000,192.0,177.0,257.0,274.0,2.0
ANT,12,Mercedes,56.0,1.0,56.0,HARD,0 days 00:01:18.296000,78.296,1,,,0 days 00:00:20.473000,0 days 00:00:37.243000,0 days 00:00:20.580000,207.0,179.0,258.0,278.0,2.0
ANT,12,Mercedes,57.0,1.0,57.0,HARD,0 days 00:01:18.511000,78.511,1,,,0 days 00:00:20.627000,0 days 00:00:37.248000,0 days 00:00:20.636000,198.0,179.0,258.0,278.0,2.0
ANT,12,Mercedes,58.0,1.0,58.0,HARD,0 days 00:01:18.393000,78.393,1,,,0 days 00:00:20.159000,0 days 00:00:37.398000,0 days 00:00:20.836000,204.0,179.0,258.0,276.0,2.0
ANT,12,Mercedes,59.0,1.0,59.0,HARD,0 days 00:01:19.056000,79.056,1,,,0 days 00:00:20.727000,0 days 00:00:37.674000,0 days 00:00:20.655000,202.0,176.0,257.0,273.0,2.0
ANT,12,Mercedes,60.0,1.0,60.0,HARD,0 days 00:01:18.697000,78.697,1,,,0 days 00:00:20.506000,0 days 00:00:37.512000,0 days 00:00:20.679000,201.0,181.0,258.0,271.0,2.0
ANT,12,Mercedes,61.0,1.0,61.0,HARD,0 days 00:01:18.590000,78.59,1,,,0 days 00:00:20.360000,0 days 00:00:37.429000,0 days 00:00:20.801000,193.0,174.0,257.0,274.0,2.0
ANT,12,Mercedes,62.0,1.0,62.0,HARD,0 days 00:01:18.448000,78.448,1,,,0 days 00:00:20.225000,0 days 00:00:37.461000,0 days 00:00:20.762000,196.0,176.0,256.0,276.0,2.0
ANT,12,Mercedes,63.0,1.0,63.0,HARD,0 days 00:01:18.884000,78.884,1,,,0 days 00:00:20.595000,0 days 00:00:37.367000,0 days 00:00:20.922000,199.0,172.0,258.0,277.0,2.0
ANT,12,Mercedes,64.0,1.0,64.0,HARD,0 days 00:01:18.457000,78.457,1,,,0 days 00:00:20.502000,0 days 00:00:37.262000,0 days 00:00:20.693000,196.0,180.0,257.0,277.0,2.0
ANT,12,Mercedes,65.0,1.0,65.0,HARD,0 days 00:01:17.696000,77.696,1,,,0 days 00:00:19.753000,0 days 00:00:37.437000,0 days 00:00:20.506000,203.0,180.0,258.0,276.0,2.0
ANT,12,Mercedes,66.0,1.0,66.0,HARD,0 days 00:01:17.398000,77.398,1,,,0 days 00:00:20.053000,0 days 00:00:37.230000,0 days 00:00:20.115000,191.0,188.0,258.0,271.0,2.0
ANT,12,Mercedes,67.0,1.0,67.0,HARD,0 days 00:01:15.551000,75.551,1,,,0 days 00:00:19.626000,0 days 00:00:36.005000,0 days 00:00:19.920000,204.0,191.0,258.0,276.0,2.0
ANT,12,Mercedes,68.0,1.0,68.0,HARD,0 days 00:01:15.019000,75.019,1,,,0 days 00:00:19.471000,0 days 00:00:35.837000,0 days 00:00:19.711000,211.0,191.0,259.0,276.0,2.0
ANT,12,Mercedes,69.0,1.0,69.0,HARD,0 days 00:01:34.121000,94.121,1,,0 days 02:28:35.673000,0 days 00:00:19.786000,0 days 00:00:36.682000,0 days 00:00:37.653000,200.0,183.0,,276.0,2.0
ANT,12,Mercedes,70.0,2.0,1.0,MEDIUM,0 days 00:01:19.503000,79.503,1,0 days 02:29:00.047000,,0 days 00:00:23.648000,0 days 00:00:36.183000,0 days 00:00:19.672000,197.0,192.0,260.0,281.0,1.0
ANT,12,Mercedes,71.0,2.0,2.0,MEDIUM,0 days 00:01:31.512000,91.512,1,,0 days 02:31:26.292000,0 days 00:00:19.316000,0 days 00:00:34.860000,0 days 00:00:37.336000,214.0,196.0,,282.0,1.0
ANT,12,Mercedes,72.0,3.0,1.0,HARD,0 days 00:01:19.009000,79.009,1,0 days 02:31:51.023000,,0 days 00:00:22.866000,0 days 00:00:35.872000,0 days 00:00:20.271000,207.0,191.0,261.0,279.0,2.0
ANT,12,Mercedes,73.0,3.0,2.0,HARD,0 days 00:01:13.651000,73.651,1,,,0 days 00:00:19.330000,0 days 00:00:34.832000,0 days 00:00:19.489000,211.0,196.0,262.0,282.0,2.0
ANT,12,Mercedes,74.0,3.0,3.0,HARD,0 days 00:01:13.518000,73.518,1,,,0 days 00:00:19.187000,0 days 00:00:34.864000,0 days 00:00:19.467000,212.0,197.0,261.0,283.0,2.0
ANT,12,Mercedes,75.0,3.0,4.0,HARD,0 days 00:01:14.834000,74.834,1,,,0 days 00:00:19.390000,0 days 00:00:35.555000,0 days 00:00:19.889000,207.0,194.0,254.0,283.0,2.0
ALO,14,Aston Martin,1.0,1.0,2.0,HARD,0 days 00:01:28.332000,88.332,12,,,,0 days 00:00:38.958000,0 days 00:00:21.505000,172.0,178.0,256.0,273.0,2.0
ALO,14,Aston Martin,2.0,1.0,3.0,HARD,0 days 00:01:47.072000,107.072,16,,,0 days 00:00:36.339000,0 days 00:00:45.880000,0 days 00:00:24.853000,76.0,171.0,197.0,241.0,2.0
ALO,14,Aston Martin,3.0,1.0,4.0,HARD,0 days 00:01:49.211000,109.211,6,,,0 days 00:00:32.549000,0 days 00:00:47.333000,0 days 00:00:29.329000,121.0,142.0,202.0,255.0,2.0
ALO,14,Aston Martin,4.0,1.0,5.0,HARD,0 days 00:01:39.675000,99.675,671,,,0 days 00:00:31.606000,0 days 00:00:46.693000,0 days 00:00:21.376000,119.0,174.0,263.0,240.0,2.0
ALO,14,Aston Martin,5.0,1.0,6.0,HARD,0 days 00:01:20.940000,80.94,1,,,0 days 00:00:21.215000,0 days 00:00:38.446000,0 days 00:00:21.279000,180.0,179.0,262.0,272.0,2.0
ALO,14,Aston Martin,6.0,1.0,7.0,HARD,0 days 00:01:20.424000,80.424,1,,,0 days 00:00:21.360000,0 days 00:00:38.050000,0 days 00:00:21.014000,184.0,179.0,257.0,278.0,2.0
ALO,14,Aston Martin,7.0,1.0,8.0,HARD,0 days 00:01:20.222000,80.222,1,,,0 days 00:00:21.210000,0 days 00:00:37.915000,0 days 00:00:21.097000,190.0,181.0,256.0,271.0,2.0
ALO,14,Aston Martin,8.0,1.0,9.0,HARD,0 days 00:01:19.105000,79.105,12,,,0 days 00:00:20.807000,0 days 00:00:37.418000,0 days 00:00:20.880000,196.0,184.0,256.0,270.0,2.0
ALO,14,Aston Martin,9.0,1.0,10.0,HARD,0 days 00:01:22.183000,82.183,2,,,0 days 00:00:20.318000,0 days 00:00:40.954000,0 days 00:00:20.911000,202.0,184.0,257.0,272.0,2.0
ALO,14,Aston Martin,10.0,1.0,11.0,HARD,0 days 00:01:20.167000,80.167,2,,,0 days 00:00:20.298000,0 days 00:00:39.123000,0 days 00:00:20.746000,,185.0,257.0,277.0,2.0
ALO,14,Aston Martin,11.0,1.0,12.0,HARD,0 days 00:01:17.469000,77.469,21,,,0 days 00:00:20.465000,0 days 00:00:36.583000,0 days 00:00:20.421000,200.0,187.0,256.0,275.0,2.0
ALO,14,Aston Martin,12.0,1.0,13.0,HARD,0 days 00:01:17.319000,77.319,1,,,0 days 00:00:20.378000,0 days 00:00:36.539000,0 days 00:00:20.402000,201.0,186.0,256.0,276.0,2.0
ALO,14,Aston Martin,13.0,1.0,14.0,HARD,0 days 00:01:16.411000,76.411,1,,,0 days 00:00:20.107000,0 days 00:00:36.105000,0 days 00:00:20.199000,203.0,190.0,255.0,275.0,2.0
ALO,14,Aston Martin,14.0,1.0,15.0,HARD,0 days 00:01:16.295000,76.295,1,,,0 days 00:00:20.050000,0 days 00:00:35.994000,0 days 00:00:20.251000,202.0,191.0,255.0,276.0,2.0
ALO,14,Aston Martin,15.0,1.0,16.0,HARD,0 days 00:01:15.593000,75.593,1,,,0 days 00:00:19.849000,0 days 00:00:35.665000,0 days 00:00:20.079000,205.0,192.0,257.0,274.0,2.0
ALO,14,Aston Martin,16.0,1.0,17.0,HARD,0 days 00:01:34.168000,94.168,1,,0 days 01:18:29.008000,0 days 00:00:20.009000,0 days 00:00:35.857000,0 days 00:00:38.302000,,191.0,,277.0,2.0
ALO,14,Aston Martin,17.0,2.0,2.0,HARD,0 days 00:01:20.283000,80.283,1,0 days 01:18:54.476000,,0 days 00:00:22.958000,0 days 00:00:37.053000,0 days 00:00:20.272000,189.0,186.0,256.0,276.0,2.0
ALO,14,Aston Martin,18.0,2.0,3.0,HARD,0 days 00:01:16.840000,76.84,1,,,0 days 00:00:20.136000,0 days 00:00:36.258000,0 days 00:00:20.446000,200.0,189.0,255.0,274.0,2.0
ALO,14,Aston Martin,19.0,2.0,4.0,HARD,0 days 00:01:17.226000,77.226,1,,,0 days 00:00:20.330000,0 days 00:00:36.465000,0 days 00:00:20.431000,196.0,187.0,255.0,276.0,2.0
ALO,14,Aston Martin,20.0,2.0,5.0,HARD,0 days 00:01:17.267000,77.267,1,,,0 days 00:00:20.228000,0 days 00:00:36.520000,0 days 00:00:20.519000,201.0,187.0,255.0,274.0,2.0
ALO,14,Aston Martin,21.0,2.0,6.0,HARD,0 days 00:01:17.921000,77.921,1,,,0 days 00:00:20.283000,0 days 00:00:36.918000,0 days 00:00:20.720000,197.0,183.0,244.0,261.0,2.0
ALO,14,Aston Martin,22.0,2.0,7.0,HARD,0 days 00:01:18.938000,78.938,1,,,0 days 00:00:20.880000,0 days 00:00:37.036000,0 days 00:00:21.022000,196.0,173.0,242.0,261.0,2.0
